Title,Link,Rating,Length
Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,9.16,13
Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,9.11,64
Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,9.08,13
Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,9.08,24
Gintama°,https://myanimelist.net/anime/28977/Gintama°,9.07,51
Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,9.06,10
Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,9.05,1
Gintama',https://myanimelist.net/anime/9969/Gintama,9.04,51
Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,9.04,148
Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,9.03,110
Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,9.03,13
Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,9.02,13
Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,9.00,12
Gintama.,https://myanimelist.net/anime/34096/Gintama,8.99,12
3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,8.94,22
Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,8.94,24
Gintama,https://myanimelist.net/anime/918/Gintama,8.94,201
Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,8.94,1
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,8.92,1
Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,8.92,1
Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,8.91,25
Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,8.89,7
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,8.88,14
Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,8.85,1
Monster,https://myanimelist.net/anime/19/Monster,8.85,74
Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,8.83,11
Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,8.81,12
Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,8.81,26
Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,8.81,13
Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,8.81,16
Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,8.80,1
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,8.79,10
Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,8.78,1
Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,8.78,12
Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,8.77,26
Mob Psycho 100 III,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,8.76,12
Shiguang Dailiren,https://myanimelist.net/anime/44074/Shiguang_Dailiren,8.76,11
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,8.76,14
Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,8.76,26
Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,8.75,26
Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,8.75,75
Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,8.74,10
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,8.74,12
Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,8.73,12
Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,8.73,24
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,8.71,12
Odd Taxi,https://myanimelist.net/anime/46102/Odd_Taxi,8.71,13
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,8.71,4
86 Part 2,https://myanimelist.net/anime/48569/86_Part_2,8.71,12
Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,8.71,47
